טוב יאללה וואלה רם אתה יודע מה אני לוקח מהשיעורים האלה מצב לילה באמת משה שלמדתי
0:088 שניותב שמח שאתה מקבל ערך זה מה שלקחת משהו מצב לילה מצב לילה בוא אני אעביר לך בפרצי ת
0:1616 שניותמצב זה טוב יאללה בלי התראות מי התכונן
0:2525 שניותלמבחן ברכבת בדרך לפה ברכבת בדרך בזום הדמיוני איתי ביחד אני
0:3434 שניותש אני עשיתי אצלי היקום יגל עם היקום סנילי סידני אלי נכון
0:4343 שניותרם אני הקשבתי בשיעור
0:5050 שניותטוב אתם מרגישים מוכנים לא לא רוטם התכוננת חוץ מסידני
0:5656 שניותלי אז חבל ש הת בזום אתמול אני שומך על הבריאה
1:051 דקה, 5 שניותשי היתי צריך לבוא איתו להפלת ילדים ביורשים
1:131 דקה, 13 שניותזה זה הטרלה צריך עזרה בבוקר במשהו אתה מס פה
1:201 דקה, 20 שניותלשם בקום גבתיים הפעלתי לי כיתה א' בראש העים טוב אז אני אגיד לכם מה אנחנו הולכים לעשות היום היום אנחנו בשיעור האחרון יהיה
1:301 דקה, 30 שניותלנו כמובן את הסמינר ומי מי כאן הצטרף לקבוצה ששרית התפתחה פתחנו כזה קהילה של
1:371 דקה, 37 שניותכולנו שאנחנו הולכים להיפגש וזה אז פתחנו גם בוואטסאפ קהילה אם אתם רוצים מ שלחה כזה קישור בוואטסאפ לקהילה כזאת של
1:451 דקה, 45 שניותאנלפיסט שאנחנו נעשה דברים מדי פעם נקבע כל מיני אירועים תרגולים כדי לשמור על ההוואי
1:541 דקה, 54 שניותו היום מה שאנחנו הולכים לעשות לפני המבחן אנחנו רוצים לעבור על ש טכניקות מאוד
2:01שתי דקות, 1 שניהמעניינות שאתם מכירים אותן ואני גם אגיד לכם איזה טכניקות היום הולכות אתם יודעים מה ניתן את זה כבר לשרית לעשות את זה היום
2:11שתי דקות, 11 שניותאנחנו הולכים לחזור על שתי טכניקות אנחנו נעשה מעבר על טכניקה שנקראת מחולל התנהגות
2:17שתי דקות, 17 שניותהיא טכניקה מעולה היא פשוטה היא באמת בהוויה מאוד מאוד אחלה עמית יעביר אותה
2:27שתי דקות, 27 שניותהוא הולך לקחת כאן גם להביר את הטכניקה להסביר עליה וגם א לעשות הדגמה
2:34שתי דקות, 34 שניותומסע בין יועצים את הטכניקה הזאת אתם מכירים גם עשינו אותה אז בזמנו שמכרנו את
2:42שתי דקות, 42 שניותה nlp בדיוק שמכרנו את הקורס פרקטישינר נעשה דיסני במקום א זה טכניק זה טכניקה
